 Position , Forename , Surname , Height , Weight , Year , Potential , Team , Games , Tackles , INTs , Sacks , FF , FR , Blocks , TDs ," Safeties
"
DT,Nathan,Knowlton,6 - 6,277,R,79,HOU,2,7,0,2,0,0,0,0,"0
"
FS,Mike,Henderson,5 - 10,193,1,76,TEN,5,20,2,0,0,1,0,1,"0
"
SS,Jonathan,Parker,6 - 2,183,3,82,DEN,3,10,3,0,0,0,0,1,"0
"
DT,Jeremy,Miller,6 - 1,304,1,87,NO,11,58,0,4,0,2,0,0,"0
"
DE,Demarius,Strong,6 - 4,254,R,78,NO,6,24,0,3.5,0,0,0,0,"0
"
ILB,Kay,Anderson,6 - 1,231,2,84,ATL,8,55,0,0,0,0,0,0,"0
"
DE,Blair,Kopay,6 - 3,275,3,90,ATL,6,22,0,4,0,0,0,0,"0
"
ILB,Art,Mills,6 - 1,230,1,83,CHI,13,88,0,0,0,0,0,0,"0
"
DT,Terry,Dewalt,6 - 2,312,3,76,CHI,7,34,0,1,0,0,0,0,"0
"
CB,Matt,Cowan,6 - 2,172,1,88,SEA,12,49,7,0,0,0,0,1,"0
"
CB,Sedrick,Madison,6 - 2,183,3,76,SD,1,2,1,0,0,0,0,0,"0
"
DE,Keyshawn,Vance,6 - 2,240,R,77,NYG,1,2,0,0.5,0,0,0,0,"0
"
SS,Raymond,Ponce,6 - 1,196,2,77,KC,7,45,1,0,0,0,0,0,"0
"
CB,Butch,McCullough,6 - 0,187,R,73,CHI,4,21,0,0,0,0,0,0,"0
"
FS,LeRoy,Holmes,5 - 11,185,3,70,ARI,4,13,2,0,0,0,0,0,"0
"
DE,Alvis,Brumm,6 - 6,268,3,97,NYJ,9,25,0,11.5,0,1,0,0,"0
"
OLB,Billy,Westbrook,6 - 0,228,2,82,KC,6,32,1,1.5,0,0,0,0,"0
"
DE,Kaulana,Groth,6 - 7,304,2,86,HOU,6,26,0,6,0,0,0,0,"0
"
CB,Lynn,Perry,6 - 3,187,R,76,BAL,2,6,1,0,1,1,0,0,"0
"
ILB,Jim,Bendross,6 - 1,244,3,88,STL,10,68,0,0,0,1,0,0,"0
"
OLB,Jeromy,Potter,6 - 2,232,2,69,MIA,1,8,0,1,0,0,0,0,"0
"
CB,David,Simpson,6 - 2,191,2,73,SF,1,1,1,0,0,0,0,0,"0
"
DE,Grover,Walker,6 - 4,259,1,75,IND,1,3,0,1,0,0,0,0,"0
"
SS,Mike,Robinson,6 - 0,196,3,73,SF,6,23,4,0,0,0,0,1,"0
"
ILB,Malcolm,Douglas - Scott,6 - 0,239,1,88,SEA,9,67,1,0,0,0,0,0,"0
"
SS,Tavian,Oliphant,6 - 2,202,1,87,SD,5,28,2,1,0,0,0,0,"0
"
CB,Donald,Edwards,6 - 1,197,2,79,TEN,6,21,4,0,0,0,0,0,"0
"
DE,Preston,Bryant,6 - 8,280,R,79,JAX,4,14,0,1,0,0,0,0,"0
"
OLB,Donnie,Bavaro,6 - 2,239,2,82,OAK,8,47,0,3.5,1,0,0,0,"0
"
ILB,Kevin,Harris,6 - 0,249,3,93,MIA,6,45,0,0,0,1,0,0,"0
"
DT,Joseph,Blair,6 - 2,294,R,74,HOU,2,9,0,1,0,0,0,0,"0
"
OLB,Charlie,Johnson,6 - 2,230,R,78,PIT,7,42,1,1,0,0,0,0,"0
"
OLB,Todd,Byers,6 - 2,251,1,74,DEN,5,31,1,0.5,0,0,0,0,"0
"
CB,Tim,Kassell,5 - 11,191,1,79,PHI,1,4,1,0,0,0,0,0,"0
"
OLB,Kenny,Salata,5 - 11,236,2,79,PHI,9,52,0,0,0,0,0,0,"0
"
CB,Paul,Olson,5 - 11,174,R,73,ARI,4,15,2,0,0,0,0,0,"0
"
DT,William,Robertson,6 - 3,291,1,79,SD,2,5,0,1.5,0,0,0,0,"0
"
CB,Travis,Chatman,5 - 10,172,3,86,DAL,6,31,2,0,0,0,0,0,"0
"
OLB,Jay,McDonald,6 - 0,214,R,68,BUF,2,11,0,0,0,0,0,0,"0
"
FS,John,Gregory,5 - 10,167,R,65,PIT,1,2,1,0,0,0,0,1,"0
"
OLB,Jack,Durrence,5 - 11,238,R,74,MIA,1,6,0,0.5,0,0,0,0,"0
"
SS,Joe,Johnson,6 - 0,206,R,80,PHI,5,26,2,0,0,0,0,0,"0
"
ILB,Paul,Ingram,6 - 1,245,R,68,ARI,1,6,0,0,0,0,0,0,"0
"
DT,Jeffrey,Bryant,6 - 7,303,2,83,STL,4,17,0,2,0,0,0,0,"0
"
DE,David,Drake,6 - 2,271,R,75,MIA,4,14,0,3,1,0,0,0,"0
"
DT,Carter,Jackson,6 - 6,273,R,74,KC,7,29,0,4,0,0,0,0,"0
"
OLB,Jeff,Mangum,6 - 2,256,3,88,DAL,12,80,0,5.5,1,0,0,0,"0
"
SS,Clarence,Peete,6 - 0,168,R,78,TEN,2,10,0,0,0,0,0,0,"0
"
FS,Juan,Hutchinson,5 - 9,170,2,78,CHI,2,12,0,0,0,0,0,0,"0
"
CB,Jesse,Solano,5 - 11,176,R,67,CLE,1,1,1,0,0,0,0,1,"0
"
OLB,Herb,Peko,6 - 0,226,R,74,STL,1,2,0,0.5,0,0,0,0,"0
"
ILB,Bryant,Palmer,6 - 1,225,1,77,SF,1,5,0,0,0,0,0,0,"0
"
SS,Kliff,Papac,6 - 0,161,1,76,BUF,1,2,1,0,0,0,0,0,"0
"
CB,John,Queen,5 - 11,196,3,87,NYJ,2,7,2,0,0,0,0,0,"0
"
DE,Ray,McBride,6 - 6,275,1,84,NYJ,3,3,0,4,0,0,0,0,"0
"
CB,Jim,Milloy,6 - 1,173,2,82,PHI,4,13,4,0,0,0,0,0,"0
"
ILB,Steve,Pointer,6 - 0,229,1,77,BUF,6,39,1,0,0,0,0,0,"0
"
SS,Adam,Newman,6 - 0,175,R,80,BAL,7,26,3,2,0,1,0,1,"0
"
DT,Quentin,Smith,6 - 8,294,3,92,IND,8,39,0,7,0,0,0,0,"0
"
DT,Bill,Kelly,6 - 1,282,2,79,CIN,6,26,0,3.5,0,0,0,0,"0
"
OLB,Derrick,Martin,6 - 0,241,2,91,TB,9,58,2,3,1,1,0,0,"0
"
OLB,Tyrone,Jones,5 - 11,233,2,98,BAL,13,102,2,7.5,0,0,0,0,"0
"
SS,Walter,Dorow,5 - 11,200,R,78,NYG,2,8,1,0,0,0,0,0,"0
"
DE,Rudi,Sinceno,6 - 7,283,2,78,TB,3,9,0,1.5,0,1,0,1,"0
"
OLB,Arlie,LeClair,6 - 2,245,3,89,MIN,7,42,1,1,2,1,0,0,"0
"
OLB,Michael,Clark,6 - 2,225,1,75,NYG,1,7,0,0,0,0,0,0,"0
"
SS,Calvin,Celestin,6 - 1,202,R,79,CIN,2,8,1,0,0,0,0,0,"0
"
FS,Warren,Johnson,5 - 10,177,3,74,ATL,3,13,1,0,0,0,0,0,"0
"
DE,Darris,Hayes,6 - 6,289,R,80,TB,2,6,0,4,0,0,0,0,"0
"
DE,Billy,Stevenson,6 - 7,259,1,78,PIT,2,3,1,1,0,0,0,0,"0
"
FS,Sean,Burton,6 - 0,202,2,91,IND,8,48,3,0,0,0,0,1,"0
"
OLB,Jeff,Williams,6 - 2,237,2,88,JAX,6,43,1,3,0,0,0,0,"0
"
FS,Mo,Wilkins,6 - 2,179,2,71,JAX,1,3,1,0,0,0,0,0,"0
"
CB,Mike,Gradishar,5 - 10,166,R,83,OAK,10,50,4,0,0,1,0,1,"0
"
CB,Lamar,Miller,5 - 11,182,3,60,JAX,1,1,1,0,0,0,0,0,"0
"
ILB,Richard,Wilson,6 - 2,231,2,84,JAX,12,79,3,0.5,0,0,0,0,"0
"
ILB,Johnny,Grossman,6 - 4,243,2,78,ARI,10,63,2,0,1,0,0,0,"0
"
CB,Keyshawn,Thompson,6 - 2,181,2,95,DET,11,48,7,0,0,1,0,1,"0
"
FS,Terry,Cole,6 - 2,202,3,76,MIN,1,5,0,0,0,0,0,0,"0
"
CB,Dale,Denney,6 - 1,193,1,68,BUF,1,2,1,0,0,0,0,0,"0
"
ILB,Rich,Barker,6 - 0,234,2,78,NYJ,1,7,0,0,0,0,0,0,"0
"
ILB,Nick,Upshaw,6 - 2,241,3,91,CIN,11,71,0,0,0,0,0,0,"0
"
DE,Ron,Rice,6 - 6,275,1,89,CAR,8,31,0,5.5,0,0,0,0,"1
"
OLB,Alexander,Baumgartner,6 - 0,224,R,74,OAK,1,7,0,0,0,0,0,0,"0
"
FS,Gray,Corbin,5 - 11,159,1,84,STL,1,5,0,0,0,0,0,0,"0
"
DT,Jared,Lee,6 - 5,313,2,82,MIN,4,20,0,0.5,0,0,0,0,"0
"
DE,Gary,Redmon,6 - 1,289,2,77,PHI,5,21,0,3,0,0,0,0,"1
"
SS,Taz,Tomlinson,5 - 10,183,1,76,NYJ,1,3,1,0,0,0,0,0,"0
"
DE,Richard,Hicks,6 - 5,297,R,79,ARI,1,5,0,0,0,0,0,0,"0
"
CB,Rufus,Freeman,5 - 10,186,1,72,NYJ,1,0,1,0,0,0,0,1,"0
"
CB,Tony,Preston,5 - 10,166,1,74,NE,1,3,1,0,0,0,0,1,"0
"
CB,Adam,Harris,6 - 1,183,1,74,NO,2,6,2,0,0,0,0,0,"0
"
CB,Laurent,Christensen,5 - 10,192,R,78,MIA,7,19,6,0.5,0,0,0,0,"0
"
CB,Joe,Taylor,5 - 10,190,2,64,KC,4,12,2,0,0,0,0,0,"0
"
DT,Jeremy,Owen,6 - 8,290,R,75,NE,5,20,0,1,1,0,0,0,"0
"
ILB,Hunter,Taylor,6 - 2,231,R,72,BUF,10,67,1,0,0,0,0,0,"0
"
