 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Completions , Attempts , Completion PCT , Yards , TDs , INTs , QB Rating , YPA ," YPG
"
QB,Byron,Harper,6 - 3,225,Sr,4.5,4.5,Utah,12,198,289,68.51,2695,10,4,154.08,9.33,"224.58
"
QB,R.J.,Stanford,5 - 11,203,Sr,5.0,5.0,Arkansas,12,421,693,60.75,4476,36,10,129.53,6.46,"373.00
"
QB,Alex,Leshoure,6 - 1,205,(Jr),5.0,5.0,Boston College,12,232,330,70.30,3538,33,7,192.11,10.72,"294.83
"
QB,J.J.,Robinson,6 - 1,209,(So),3.5,4.5,Temple,12,167,290,57.59,1940,14,7,125.12,6.69,"161.67
"
QB,James,Jordan,6 - 3,209,(So),4.0,4.0,Georgia State,12,227,394,57.61,2696,13,10,121.83,6.84,"224.67
"
QB,Douglas,Graham,6 - 3,185,(Jr),3.5,4.0,Miami OH,12,330,556,59.35,3683,28,4,129.98,6.62,"306.92
"
QB,Drew,Myles,6 - 0,207,(Jr),3.0,3.0,Clemson,1,1,5,20.00,9,0,0,35.12,1.80,"9.00
"
QB,Lawrence,Pritchett,6 - 0,187,Jr,4.5,5.0,Tulane,12,200,324,61.73,2499,13,6,134.59,7.71,"208.25
"
QB,Paul,Robbins,6 - 2,197,Sr,3.0,3.0,Miami OH,1,7,12,58.33,99,1,0,155.13,8.25,"99.00
"
QB,Daniel,Gruber,6 - 1,200,(Jr),2.0,2.5,North Carolina State,3,28,50,56.00,288,1,4,92.27,5.76,"96.00
"
QB,Luke,Williams,6 - 4,185,(Jr),4.5,4.5,Pittsburgh,12,293,448,65.40,3638,27,6,151.11,8.12,"303.17
"
QB,Morris,Jacobs,6 - 3,195,(Jr),2.5,3.5,Western Michigan,12,66,112,58.93,814,7,2,137.52,7.27,"67.83
"
QB,Parker,Atkinson,6 - 0,230,So,1.5,2.5,Hawaii,2,5,16,31.25,50,2,0,108.08,3.12,"25.00
"
QB,Robert,Proffitt,6 - 6,219,Sr,2.0,2.0,Akron,1,2,7,28.57,27,0,0,60.97,3.86,"27.00
"
QB,Andrew,Davis,6 - 3,222,(Jr),3.5,4.5,Northern Illinois,12,212,329,64.44,2597,17,7,145.34,7.89,"216.42
"
QB,Melvin,Jefferson,6 - 3,202,(Sr),4.5,4.5,Ohio State,12,220,344,63.95,2698,17,9,141.95,7.84,"224.83
"
QB,Darren,Carroll,5 - 11,212,(Jr),3.5,3.5,Boise State,12,123,201,61.19,1802,6,2,145.88,8.97,"150.17
"
QB,Benny,Wilson,6 - 0,192,(Sr),4.0,4.0,Wisconsin,12,179,259,69.11,2509,15,3,167.66,9.69,"209.08
"
QB,Jaden,Hambrick,6 - 0,226,(Sr),4.0,4.0,Maryland,12,158,264,59.85,2056,4,4,128.02,7.79,"171.33
"
QB,Jacob,Dunham,6 - 2,193,(Fr),2.5,3.0,Cincinnati,11,167,328,50.91,1847,9,9,101.31,5.63,"167.91
"
RB,William,Banks,5 - 9,178,(So),2.0,3.0,Bowling Green,1,2,4,50.00,83,1,0,306.80,20.75,"83.00
"
QB,Wayne,Schmidt,6 - 1,172,Sr,4.5,4.5,Oklahoma State,12,232,394,58.88,2473,15,5,121.61,6.28,"206.08
"
QB,Elmer,Zimmerman,6 - 3,223,Jr,2.0,2.0,Indiana,12,109,232,46.98,1217,4,9,90.08,5.25,"101.42
"
QB,Tommy,Jones,6 - 3,198,(Sr),5.0,5.0,Michigan,12,233,340,68.53,3208,29,8,172.20,9.44,"267.33
"
QB,Jonah,Berry,6 - 3,235,(Fr),2.0,3.5,UCLA,5,85,168,50.60,910,4,5,96.33,5.42,"182.00
"
QB,A.J.,Bowden,6 - 1,205,(Jr),4.5,4.5,Kentucky,2,16,23,69.57,287,4,0,227.47,12.48,"143.50
"
QB,Salvatore,Tanner,6 - 3,228,(Fr),2.0,4.0,Georgia,3,11,15,73.33,93,1,0,137.14,6.20,"31.00
"
QB,Art,Duhon,6 - 2,207,(Sr),4.0,4.0,Arizona State,12,155,249,62.25,2056,11,2,145.55,8.26,"171.33
"
QB,Mike,Caldwell,6 - 1,190,(Sr),3.5,3.5,Ole Miss,11,126,230,54.78,1629,5,5,118.62,7.08,"148.09
"
QB,Brad,Davis,5 - 11,205,(Jr),5.0,5.0,Texas,12,268,391,68.54,3671,27,5,165.89,9.39,"305.92
"
QB,Marcus,Swartz,6 - 2,237,(Fr),2.5,4.0,Baylor,11,170,289,58.82,1907,12,5,125.23,6.60,"173.36
"
QB,Seth,Henson,6 - 2,193,(Jr),2.5,2.5,Stanford,11,154,314,49.04,1748,7,6,98.92,5.57,"158.91
"
QB,T.J.,Zamora,6 - 3,222,Fr,1.5,4.0,Akron,11,181,383,47.26,1546,6,15,79.21,4.04,"140.55
"
QB,Dave,Rogers,5 - 10,234,(Fr),1.5,3.5,Maryland,1,0,4,0.00,0,0,0,0.00,0.00,"0.00
"
QB,John,Bates,6 - 4,193,Sr,3.0,3.0,Memphis,4,55,115,47.83,671,4,3,105.63,5.83,"167.75
"
QB,Darius,Brock,6 - 0,199,(Jr),3.0,3.0,Arizona State,1,3,8,37.50,39,0,0,78.45,4.88,"39.00
"
QB,Tyron,Maddox,6 - 0,196,Sr,2.5,2.5,Nebraska,1,4,9,44.44,66,1,0,142.71,7.33,"66.00
"
QB,Joseph,Bernard,6 - 2,191,(Sr),4.5,4.5,Rutgers,11,174,280,62.14,2239,11,3,140.24,8.00,"203.55
"
