 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Attempts , Missed , +0 , +20 , +30 , +40 ," +50
"
K,Andrew,Rowe,6 - 1,222,Fr,1.5,3.0,Bowling Green,1,0,0,1,0,0,"0
"
P,Mason,Singleton,6 - 3,198,(Jr),5.0,5.0,Pittsburgh,8,2,0,0,3,3,"0
"
K,Raymond,Kauffman,5 - 11,184,Fr,3.0,3.0,Rice,6,0,0,1,1,4,"0
"
K,Jeremy,Holland,6 - 4,219,Fr,3.0,3.5,Florida,11,0,0,0,4,7,"0
"
K,Mason,Dutton,5 - 8,175,So,3.5,3.5,Missouri,11,1,0,0,4,6,"0
"
K,Kurt,Thompson,72,195,Jr,2.0,2.0,Miami FL,13,3,1,0,6,3,"0
"
K,Vincent,Comer,5 - 7,185,(Fr),2.0,5.0,Notre Dame,15,3,0,0,4,8,"0
"
K,David,Hutson,5 - 10,186,So,3.0,3.0,Tulane,8,1,0,0,3,4,"0
"
K,Jose,Harper,6 - 1,190,So,1.5,1.5,Wyoming,9,1,0,2,3,3,"0
"
K,Justin,Nielsen,5 - 11,203,(Jr),5.0,5.0,Texas A&M,8,0,0,0,2,5,"1
"
K,Hunter,Leone,5 - 9,173,So,3.0,3.5,Virginia,17,0,0,2,4,11,"0
"
K,Chris,Freeman,5 - 9,175,(Jr),4.0,4.0,USC,12,0,1,2,6,3,"0
"
K,Kevin,Marinovich,5 - 10,165,(Sr),2.5,2.5,Ole Miss,16,0,0,4,5,6,"1
"
K,Matt,Fisk,5 - 11,171,Sr,4.0,4.0,Penn State,24,1,0,3,9,10,"1
"
K,Leandro,Blunt,6 - 2,206,(Fr),1.5,1.5,Kent State,6,1,0,0,3,2,"0
"
K,Nico,Riddle,5 - 10,222,So,3.5,3.5,Georgia State,12,1,0,1,4,6,"0
"
K,Elliot,Ziegler,5 - 10,182,Fr,2.0,2.5,UCLA,2,0,0,0,0,2,"0
"
K,Timmy,Wilhelm,6 - 1,222,Fr,1.0,4.0,Ohio,10,1,0,2,5,2,"0
"
K,Daniel,Olson,5 - 10,188,(Jr),4.0,4.5,Cincinnati,9,0,0,0,3,5,"1
"
K,Amir,Millard,6 - 3,187,(Fr),2.0,4.0,Clemson,11,0,1,3,4,3,"0
"
K,Mark,Kirschbaum,5 - 9,199,Sr,4.5,4.5,Purdue,18,1,0,0,7,9,"1
"
K,Nathaniel,Berger,6 - 1,224,Fr,2.0,2.5,Eastern Michigan,16,4,0,2,5,5,"0
"
K,Asher,Devine,5 - 9,162,(Fr),1.0,3.0,Washington State,11,0,0,2,1,8,"0
"
K,Troy,Lawson,5 - 9,196,Sr,3.0,3.0,Arizona,9,0,0,0,6,3,"0
"
K,Rolando,Anderson,6 - 4,172,Jr,2.5,2.5,Nevada,15,1,0,0,9,5,"0
"
K,Robert,Gilbert,6 - 2,185,So,2.5,3.5,San Jose State,6,0,0,1,1,4,"0
"
K,James,Dunn,6 - 2,200,Jr,2.0,2.0,New Mexico,11,2,0,1,5,3,"0
"
K,Jayden,Warner,6 - 2,208,(Fr),2.0,4.0,Auburn,12,2,0,0,6,4,"0
"
K,Thomas,Fry,5 - 11,158,Jr,3.0,3.5,San Diego State,12,0,0,1,6,5,"0
"
K,Anthony,Call,5 - 9,187,So,2.5,3.0,Buffalo,9,1,0,0,5,3,"0
"
K,Joshua,Stewart,6 - 4,176,Jr,3.0,3.0,Kansas,12,2,0,1,5,4,"0
"
K,Mitch,Hughes,5 - 11,171,Sr,4.0,4.0,North Carolina State,5,1,0,1,2,1,"0
"
K,Eric,Holder,6 - 3,186,So,3.5,4.5,Alabama,23,4,0,1,7,11,"0
"
K,Tristan,Callahan,5 - 9,213,(Fr),2.0,3.5,Indiana,5,0,0,2,2,1,"0
"
K,Philip,Fuller,6 - 0,200,(Jr),4.0,4.0,Louisville,13,1,0,3,3,6,"0
"
SS,John,Smith,5 - 11,203,Sr,4.5,4.5,Baylor,1,0,0,0,0,1,"0
"
K,Oscar,Hatfield,6 - 3,221,(Fr),2.5,3.0,West Virginia,19,0,0,4,8,7,"0
"
K,David,Garner,6 - 4,204,So,2.0,2.0,Bowling Green,8,1,0,2,5,0,"0
"
K,James,Taylor,6 - 4,186,(Jr),2.5,2.5,Miami OH,10,0,0,0,5,5,"0
"
K,Jackson,Bagley,6 - 1,177,So,2.0,3.0,Oklahoma State,13,0,0,1,5,7,"0
"
K,Jonah,Forbes,5 - 10,174,Jr,3.5,4.0,Ball State,9,1,0,0,6,2,"0
"
K,Hunter,Babb,5 - 7,152,Fr,1.5,3.5,Utah,23,3,0,7,10,3,"0
"
K,Rory,Feldman,6 - 1,175,Fr,1.0,3.5,Wake Forest,19,2,0,3,10,4,"0
"
K,Bernard,Acevedo,6 - 1,210,(Jr),4.0,4.0,Arizona State,9,2,0,0,0,7,"0
"
K,Marcus,Sewell,6 - 4,166,(Fr),3.5,3.5,LSU,11,1,0,2,5,3,"0
"
K,Xavier,Jernigan,5 - 9,172,So,2.5,3.0,Texas,23,0,1,5,7,10,"0
"
K,Illanipi,Linton,6 - 3,172,(Fr),2.0,3.0,Army,11,0,0,1,4,6,"0
"
K,Martin,Reeves,6 - 2,160,Sr,3.0,3.0,Arkansas,11,0,0,0,5,6,"0
"
K,Leonel,Quezada,6 - 0,180,(Fr),2.5,4.0,North Carolina,13,1,1,2,6,3,"0
"
K,Paul,Schultz,5 - 7,222,So,3.0,3.0,Minnesota,12,2,0,1,3,6,"0
"
K,Abraham,Pierce,5 - 7,192,So,3.0,4.0,Connecticut,13,0,0,3,7,3,"0
"
K,Alejandro,Aguirre,5 - 11,198,(Jr),5.0,5.0,Oklahoma,17,0,0,1,3,11,"2
"
K,Jorge,Lopez,5 - 9,171,(Jr),3.5,3.5,Baylor,12,1,0,3,2,6,"0
"
K,Elliot,France,5 - 9,195,Fr,1.5,3.5,Utah State,3,0,0,0,1,2,"0
"
K,Chris,Wells,6 - 0,192,(Jr),4.5,4.5,Michigan,14,0,0,2,5,6,"1
"
K,Otto,Asher,5 - 11,153,Fr,2.0,2.5,UCLA,8,1,0,2,2,3,"0
"
K,Carlos,Cruz,6 - 2,197,Sr,4.5,4.5,Air Force,22,1,0,1,4,15,"1
"
K,Josh,Booth,6 - 1,199,Fr,1.0,3.0,Akron,10,2,0,2,5,1,"0
"
K,Nicolas,Christman,6 - 1,181,Fr,2.0,3.0,Kansas State,2,0,0,0,0,2,"0
"
K,Daniel,Timmons,6 - 2,219,Sr,4.0,4.0,Ohio State,10,1,0,1,4,4,"0
"
K,Christian,McKinney,5 - 9,220,(Fr),2.0,3.0,Fresno State,9,1,1,0,3,4,"0
"
K,Noah,Cohen,6 - 3,173,Fr,3.0,4.0,Toledo,10,0,0,2,5,3,"0
"
K,Cyrus,Gruber,6 - 0,152,So,2.5,2.5,Navy,9,1,0,1,3,4,"0
"
K,Richard,Archer,5 - 11,174,(Fr),2.5,2.5,Northern Illinois,12,0,0,4,5,3,"0
"
K,Cesar,Stevenson,6 - 4,206,Sr,1.5,1.5,USF,3,2,0,0,1,0,"0
"
K,Walker,Gentry,6 - 3,166,Jr,3.5,3.5,Washington,8,0,0,1,1,6,"0
"
K,Eddie,Heredia,5 - 8,153,Fr,1.5,4.0,Texas Tech,9,2,0,1,3,3,"0
"
K,Austin,Flint,5 - 8,201,Fr,1.0,3.0,North Texas,6,1,0,2,2,1,"0
"
K,Will,Nichols,5 - 11,165,Sr,4.0,4.0,California,8,1,0,1,4,1,"1
"
K,Mateo,Russ,6 - 1,167,(Fr),2.0,4.0,Colorado State,9,1,0,0,4,4,"0
"
K,Jake,Fontaine,5 - 11,161,So,2.0,3.0,Houston,12,0,0,4,6,2,"0
"
K,Nick,Easy,5 - 8,177,(Sr),3.0,3.0,Colorado,13,0,0,3,4,6,"0
"
K,Dan,Ortiz,6 - 1,197,(Jr),3.0,3.0,Oregon State,4,0,0,0,1,3,"0
"
K,W.K.,Coffman,5 - 9,223,Jr,4.0,5.0,ECU,12,0,0,1,2,9,"0
"
K,Nicholas,McMahon,6 - 4,207,So,2.5,4.0,Iowa State,7,0,0,2,4,1,"0
"
K,Jack,Dunham,6 - 8,197,(So),3.0,4.0,Georgia,18,0,0,3,9,6,"0
"
K,Ronald,Corbett,6 - 4,193,Sr,3.0,3.0,Central Michigan,6,1,0,0,1,4,"0
"
K,Ilan,Youngblood,5 - 10,160,So,3.0,4.5,Maryland,12,0,0,0,6,6,"0
"
K,Dana,Currier,5 - 9,208,(Sr),5.0,5.0,Marshall,10,0,0,1,1,6,"2
"
K,Jonathan,Nash,5 - 8,217,(Fr),2.0,3.0,Rutgers,3,0,0,0,1,2,"0
"
K,Christian,Valenzuela,5 - 11,179,(Jr),4.5,4.5,Boise State,12,2,0,0,4,6,"0
"
K,Chris,Ritter,6 - 2,208,(Jr),5.0,5.0,Stanford,11,0,0,0,2,8,"1
"
K,Jan - Christian,Engelhardt,6 - 2,203,Sr,3.5,3.5,Syracuse,11,2,0,1,3,5,"0
"
K,Louis,Wilson,6 - 0,171,Jr,3.0,3.0,South Carolina,10,1,0,0,5,4,"0
"
K,Stephen,Waters,5 - 11,169,Jr,3.0,3.0,SMU,13,0,0,2,6,5,"0
"
K,Sean,Doty,6 - 3,184,So,2.5,4.0,Wisconsin,9,1,0,0,3,5,"0
"
K,Robert,Smith,6 - 0,171,(Jr),3.5,3.5,Northwestern,8,0,0,1,3,4,"0
"
K,Jessie,Thomas,6 - 1,202,Sr,3.0,3.0,Tulsa,13,0,1,1,7,4,"0
"
K,Rafael,Davidson,5 - 11,182,Sr,5.0,5.0,Nebraska,17,1,1,4,3,7,"1
"
K,Ralph,Phillips,6 - 2,192,(So),3.0,3.5,Western Michigan,6,0,0,0,4,2,"0
"
K,Nicholas,Seay,5 - 7,172,Jr,4.0,4.5,Mississippi State,16,0,0,2,11,3,"0
"
K,John,Robinson,5 - 11,179,So,2.0,2.0,Temple,15,4,0,8,2,1,"0
"
K,Cody,Smith,5 - 7,186,(Fr),2.0,3.5,Vanderbilt,13,3,0,2,4,4,"0
"
K,Jeffrey,Hearn,5 - 8,217,So,3.0,3.0,UCF,9,0,0,2,6,1,"0
"
K,Richie,Epps,6 - 2,184,(Jr),4.5,4.5,BYU,13,0,0,1,4,8,"0
"
K,Andrew,Ryan,6 - 4,207,(Fr),2.0,4.0,Florida State,9,1,0,1,6,1,"0
"
K,Richard,Hackett,5 - 10,209,Jr,2.5,3.0,USF,14,1,0,0,8,5,"0
"
K,Nick,Nolke,6 - 1,194,Sr,2.5,2.5,Wake Forest,4,1,0,0,2,1,"0
"
K,Ian,Hughes,5 - 10,187,Sr,3.0,3.0,Duke,13,3,0,1,5,4,"0
"
K,Antonio,Martinez,5 - 11,212,Jr,1.5,1.5,Memphis,15,4,0,3,7,1,"0
"
K,Vince,Wilson,6 - 0,195,(Jr),3.0,3.0,Indiana,8,2,0,1,4,1,"0
"
K,Clyde,Smith,5 - 8,207,(So),4.0,4.0,Georgia Tech,14,1,0,3,5,4,"1
"
K,Enmanuel,Saavedra,6 - 2,196,Fr,3.0,3.0,Iowa,16,1,0,0,4,10,"1
"
K,Zachary,Becker,5 - 8,222,So,2.0,3.5,Tennessee,15,1,0,1,7,6,"0
"
K,Dennis,Lynn,5 - 9,220,So,3.0,3.0,Virginia Tech,8,1,0,1,2,4,"0
"
P,Isaiah,Anderson,5 - 11,205,(Jr),4.5,4.5,Boston College,14,3,0,1,7,3,"0
"
P,Lucas,Pappas,5 - 7,162,Sr,5.0,5.0,Illinois,16,2,0,0,11,3,"0
"
K,Dan,DuBois,5 - 10,191,Sr,3.5,3.5,Michigan State,22,2,0,1,7,11,"1
"
K,Ewen,McDonald,6 - 3,176,Sr,2.5,2.5,Rutgers,9,1,0,3,2,3,"0
"
K,Paul,Peterson,6 - 3,212,Jr,3.0,3.0,TCU,13,1,1,3,4,4,"0
"
K,Thomas,McMahan,6 - 2,203,So,3.0,4.5,Oregon,11,0,0,2,5,4,"0
"
K,Tyler,Oliva,6 - 4,158,(Fr),2.0,4.0,Kentucky,4,1,0,0,2,1,"0
"
K,Sam,Sarahi,6 - 1,203,Sr,5.0,5.0,Hawaii,5,0,0,0,2,2,"1
"
