 Position , Forename , Surname , Height , Weight , Year , Skill , Team , Games , Completions , Attempts , Completion PCT , Yards , TDs , INTs , QB Rating , YPA , YPG , TD PCT ," INT PCT
"
QB,Jason,Johnson,5 - 11,190,R,83,GB,11,195,292,66.78,2381,21,6,107.12,8.15,216.45,7.19,"2.05
"
QB,Darren,Werner,6 - 1,206,R,76,NE,11,160,272,58.82,1946,14,5,90.39,7.15,176.91,5.15,"1.84
"
QB,Nu,Battles,6 - 0,206,R,50,CIN,11,64,124,51.61,695,2,6,53.63,5.6,63.18,1.61,"4.84
"
QB,Brian,Vardell,6 - 2,200,R,74,MIN,11,185,257,71.98,2051,12,2,107.63,7.98,186.45,4.67,"0.78
"
QB,Kareem,Taylor,6 - 2,202,R,81,JAX,11,167,257,64.98,1931,11,1,100.17,7.51,175.55,4.28,"0.39
"
QB,Mike,Hill,6 - 0,202,R,73,OAK,11,84,159,52.83,969,9,5,77.27,6.09,88.09,5.66,"3.14
"
QB,Richard,Ramos,6 - 0,184,R,73,DET,11,240,448,53.57,2300,9,5,70.13,5.13,209.09,2.01,"1.12
"
QB,Steve,Reid,6 - 0,197,R,56,DAL,11,119,227,52.42,1272,6,10,59.53,5.6,115.64,2.64,"4.41
"
QB,Will,Thompson,6 - 3,191,R,71,MIA,11,167,298,56.04,1902,15,6,83.76,6.38,172.91,5.03,"2.01
"
QB,Andrew,Jones,6 - 3,204,1,40,IND,2,24,57,42.11,209,1,2,43.68,3.67,104.5,1.75,"3.51
"
QB,Allan,Taylor,6 - 0,202,R,82,NO,7,96,164,58.54,1109,8,0,95.3,6.76,158.43,4.88,"0
"
QB,Greg,Bierria,6 - 3,186,R,75,IND,9,146,258,56.59,1531,11,3,83.32,5.93,170.11,4.26,"1.16
"
QB,Christian,Skaggs,6 - 1,214,R,83,CAR,11,317,494,64.17,3451,23,6,95.18,6.99,313.73,4.66,"1.21
"
QB,Alexander,Williams,6 - 0,187,R,79,CLE,11,144,235,61.28,1615,11,2,93.83,6.87,146.82,4.68,"0.85
"
QB,Onterrio,Smith,6 - 1,180,R,71,NYJ,11,138,258,53.49,1563,6,7,68.38,6.06,142.09,2.33,"2.71
"
QB,Reggie,Watkins,6 - 4,200,R,69,ATL,11,103,170,60.59,1160,14,2,103.54,6.82,105.45,8.24,"1.18
"
QB,Adolfo,Brown,6 - 4,212,R,49,NO,5,22,70,31.43,195,1,8,5.96,2.79,39,1.43,"11.43
"
QB,Darrell,Murphy,6 - 2,215,R,80,STL,11,168,277,60.65,2243,22,7,102.3,8.1,203.91,7.94,"2.53
"
