 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Catches , Yards , TDs , YPC ," YPG
"
WR,Brett,Tran,5 - 10,173,Sr,2.0,2.0,Pittsburgh,4,18,198,2,11.00,"49.50
"
WR,Jack,Sullivan,6 - 4,191,Sr,2.5,2.5,Wyoming,8,19,220,1,11.58,"27.50
"
TE,David,Sellers,6 - 5,250,Sr,1.5,1.5,Miami OH,1,5,53,1,10.60,"53.00
"
WR,Richard,Fleming,6 - 3,207,Sr,2.0,2.0,Kent State,7,10,178,0,17.80,"25.43
"
WR,Edward,Schilling,6 - 4,215,So,1.0,1.0,Kansas State,2,3,55,1,18.33,"27.50
"
TE,Robert,Manning,6 - 3,224,(Jr),1.0,1.5,Buffalo,4,4,83,0,20.75,"20.75
"
TE,Warren,Henderson,6 - 4,246,(Jr),3.0,3.0,Eastern Michigan,7,47,526,5,11.19,"75.14
"
TE,Nicky,Rogers,6 - 6,237,(Sr),3.5,3.5,Tennessee,4,12,172,1,14.33,"43.00
"
WR,Joseph,Armstrong,6 - 4,226,So,2.0,2.0,Oregon State,2,7,78,1,11.14,"39.00
"
WR,Tom,Branch,5 - 9,174,(Jr),4.0,4.0,Boston College,12,85,1177,10,13.85,"98.08
"
TE,Carlos,Reed,6 - 6,225,Sr,3.5,3.5,Georgia Tech,2,3,62,0,20.67,"31.00
"
TE,Jeffrey,Lewis,6 - 2,235,Jr,2.5,3.5,Nevada,9,15,212,2,14.13,"23.56
"
TE,Eric,James,6 - 2,231,(So),2.0,2.0,New Mexico,2,4,43,1,10.75,"21.50
"
WR,Clint,Wiley,6 - 6,178,(Jr),4.0,4.0,South Carolina,11,85,984,5,11.58,"89.45
"
TE,Steven,Edwards,6 - 4,221,Jr,1.5,2.5,Buffalo,4,8,108,1,13.50,"27.00
"
WR,William,Anderson,6 - 3,207,(Fr),2.5,5.0,Alabama,3,10,164,3,16.40,"54.67
"
WR,Robert,McMahon,6 - 3,163,Sr,2.5,2.5,ECU,7,15,193,2,12.87,"27.57
"
WR,Roger,Bailey,5 - 10,159,So,2.0,4.5,Oregon State,3,9,110,1,12.22,"36.67
"
TE,Mark,Novak,6 - 3,217,Sr,2.5,2.5,Army,4,16,223,3,13.94,"55.75
"
WR,Alex,Gash,6 - 5,186,(Jr),4.0,4.0,Texas A&M,9,62,729,3,11.76,"81.00
"
WR,Chase,Thurman,6 - 4,218,(Fr),2.0,2.5,Northwestern,3,9,110,1,12.22,"36.67
"
WR,Mark,Harrington,6 - 6,177,Sr,5.0,5.0,Penn State,14,70,1175,10,16.79,"83.93
"
TE,Thomas,Woodson,6 - 3,232,Sr,4.0,4.0,Ohio State,1,1,33,0,33.00,"33.00
"
FB,Ervin,Lusk,6 - 1,225,Jr,1.5,2.5,Kent State,2,2,32,1,16.00,"16.00
"
RB,Kwendi,Nkwenti,6 - 0,219,Jr,3.5,4.0,Rice,2,3,64,2,21.33,"32.00
"
WR,Corey,Jodat,6 - 6,165,Sr,3.0,3.0,Vanderbilt,11,28,344,1,12.29,"31.27
"
TE,William,Bouchard,6 - 3,246,So,1.5,4.0,ECU,4,7,98,0,14.00,"24.50
"
