 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Catches , Yards , TDs , YPC ," YPG
"
WR,Jamie,Keeton,6 - 5,191,1,61, - ,St. Louis,7,18,211,0,11.72,"30.14
"
RB,Ed,Latta,5 - 9,188,R,79, - ,Jacksonville,1,2,29,0,14.50,"29.00
"
WR,Austin,Medina,5 - 11,192,R,79, - ,New York Jets,13,27,471,4,17.44,"36.23
"
TE,Aaron,Cross,6 - 4,239,1,54, - ,Cincinnati,2,3,54,0,18.00,"27.00
"
TE,Bob,Branch,78,239,1,63, - ,Carolina,12,84,922,11,10.98,"76.83
"
WR,Tony,Birk,74,205,1,55, - ,Carolina,1,3,37,0,12.33,"37.00
"
WR,Rodney,Montgomery,6 - 0,185,R,77, - ,Miami,16,80,1192,12,14.90,"74.50
"
RB,Rob,Blackmon,6 - 0,206,1,82, - ,Cincinnati,1,2,17,0,8.50,"17.00
"
WR,Mark,Walker,5 - 11,190,1,76, - ,Minnesota,15,72,1198,9,16.64,"79.87
"
WR,Mike,Robinson,5 - 9,165,R,59, - ,New York Jets,1,1,29,0,29.00,"29.00
"
TE,Charlie,Wilson,6 - 7,247,R,77, - ,New York Jets,10,23,282,4,12.26,"28.20
"
FB,Joseph,Lopez,5 - 11,213,R,57, - ,St. Louis,1,1,5,1,5.00,"5.00
"
WR,David,Gaines,6 - 2,190,1,73, - ,New York Jets,5,12,133,0,11.08,"26.60
"
WR,Richard,Zimmerman,6 - 2,189,R,68, - ,Carolina,14,68,931,8,13.69,"66.50
"
RB,Chester,Henson,5 - 11,226,1,89, - ,Minnesota,6,16,251,3,15.69,"41.83
"
RB,Justin,Buchanan,5 - 10,184,R,79, - ,Oakland,3,9,172,1,19.11,"57.33
"
WR,Eric,Minter,6 - 4,187,R,72, - ,Minnesota,13,30,451,3,15.03,"34.69
"
WR,Zach,Fiore,6 - 2,191,R,68, - ,Atlanta,4,10,134,1,13.40,"33.50
"
WR,Carlos,Warren,5 - 11,178,R,74, - ,Cincinnati,6,12,216,2,18.00,"36.00
"
FB,Anthony,Thomas,5 - 11,222,R,71, - ,Minnesota,1,2,11,1,5.50,"11.00
"
TE,Tom,Ellis,6 - 3,265,R,73, - ,Jacksonville,7,23,292,4,12.70,"41.71
"
