 Position , Forename , Surname , Height , Weight , Year , Skill , Team , Kick-off TDs ," Punt TDs
"
WR,David,Wells,6 - 5,187,1,83,BAL,0,"1
"
WR,Sean,Jenkins,6 - 6,182,R,82,NO,2,"0
"
WR,Adrian,Allen,6 - 4,183,R,79,WAS,1,"0
"
WR,Brandon,Burks,6 - 5,178,2,69,SD,0,"1
"
WR,Greg,Newman,5 - 9,168,3,89,NO,0,"1
"
WR,Christopher,Johnson,6 - 1,173,1,76,PHI,0,"1
"
WR,Michael,Hawkins,5 - 9,196,R,79,PHI,0,"1
"
WR,Austin,Medina,5 - 11,192,2,84,PIT,1,"0
"
WR,Jacky,Walters,5 - 11,179,R,71,MIA,0,"2
"
WR,Darrell,Mack,6 - 2,156,R,80,DEN,0,"1
"
WR,Art,Baber,5 - 9,201,2,82,ATL,0,"1
"
CB,Keyshawn,Thompson,6 - 2,181,2,95,DET,0,"2
"
RB,Tom,Simonton,6 - 0,209,R,70,CAR,1,"0
"
WR,Peter,Foster,6 - 1,174,R,74,CHI,0,"1
"
WR,Tommy,Furrey,6 - 6,178,3,82,TEN,0,"2
"
CB,Rashaan,Viger,5 - 11,177,2,74,MIN,1,"1
"
WR,Matt,Kreutz,6 - 3,199,2,74,IND,0,"1
"
