 Position , Forename , Surname , Height , Weight , Year , Skill , Team , Games , Catches , Yards , TDs , Fumbles , YPC ," YPG
"
TE,Wilbert,Stoutmire,6 - 2,247,R,70,DET,8,41,399,4,0,9.73,"49.88
"
WR,Kurt,Hill,5 - 9,196,R,79,CAR,11,57,738,5,0,12.95,"67.09
"
TE,Tom,Ellis,6 - 3,265,R,69,JAX,11,42,511,6,0,12.17,"46.45
"
TE,Tony,Saunders,6 - 0,233,R,52,JAX,3,8,73,0,0,9.13,"24.33
"
WR,Tom,Grant,6 - 0,172,R,70,IND,9,53,547,4,0,10.32,"60.78
"
FB,Leonard,McIntyre,6 - 2,245,R,57,NE,1,3,28,0,0,9.33,"28
"
TE,Brian,Gary,6 - 6,267,R,76,OAK,10,30,314,4,0,10.47,"31.4
"
WR,Eric,Barlow,5 - 11,175,R,53,OAK,11,26,363,4,0,13.96,"33
"
WR,John,Guman,6 - 5,199,R,52,DET,3,9,129,0,0,14.33,"43
"
WR,Cory,Wilson,6 - 4,215,R,59,MIN,2,7,66,0,0,9.43,"33
"
RB,Bryan,Davis,5 - 8,195,R,76,ATL,2,4,43,0,0,10.75,"21.5
"
TE,Cecil,Meinert,6 - 6,250,R,56,NE,9,36,403,5,0,11.19,"44.78
"
WR,Mario,Dickson,6 - 6,189,R,52,OAK,3,3,33,0,0,11,"11
"
TE,David,Kroeker,6 - 4,244,R,60,MIA,2,4,35,1,0,8.75,"17.5
"
TE,Alex,Parker,6 - 2,239,R,56,CIN,10,27,314,2,0,11.63,"31.4
"
TE,Will,Tensi,6 - 2,238,R,57,OAK,2,2,23,0,0,11.5,"11.5
"
WR,Bill,Pryor,5 - 10,181,R,60,NE,2,7,89,1,0,12.71,"44.5
"
TE,Bob,Branch,6 - 6,239,R,59,STL,7,28,387,4,0,13.82,"55.29
"
RB,Rob,Blackmon,6 - 0,206,R,80,CIN,1,2,15,0,0,7.5,"15
"
RB,James,Bush,6 - 1,242,R,82,JAX,1,3,30,0,0,10,"30
"
