 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Attempts , Yards , TDs , Fumbles , 100yd Games , YPC ," YPG
"
RB,Keena,Kane,5 - 9,180,1,76, - ,Green Bay,1,5,6,1,0,0,1.20,"6.00
"
FB,Richard,Myers,6 - 2,242,2,73, - ,Atlanta,3,11,19,3,0,0,1.73,"6.33
"
FB,Michael,Banks,6 - 2,247,2,66, - ,Oakland,1,1,1,1,0,0,1.00,"1.00
"
RB,Kevin,Richards,5 - 11,182,2,85, - ,New Orleans,12,243,1144,13,0,5,4.71,"95.33
"
RB,James,Otero,5 - 8,191,1,86, - ,Miami,12,164,800,5,2,0,4.88,"66.67
"
RB,Quincy,Turner,6 - 1,200,1,82, - ,San Diego,2,7,6,0,0,0,0.86,"3.00
"
FB,Greg,Williams,72,251,2,63, - ,Carolina,1,2,3,1,0,0,1.50,"3.00
"
QB,Taylor,Heiden,6 - 3,197,R,76, - ,Tampa Bay,5,20,94,2,0,0,4.70,"18.80
"
QB,Ryan,Clark,6 - 1,187,R,80, - ,Cleveland,1,1,8,0,0,0,8.00,"8.00
"
FB,Victor,Brunson,73,231,R,65, - ,Indianapolis,3,10,32,3,0,0,3.20,"10.67
"
FB,Derek,Jensen,6 - 0,249,2,55, - ,San Diego,1,3,0,0,1,0,0.00,"0.00
"
FB,Lorenzo,Makovicka,70,211,R,70, - ,Detriot,1,2,2,1,0,0,1.00,"2.00
"
RB,Russ,Martin,72,215,1,79, - ,Carolina,12,133,535,4,2,0,4.02,"44.58
"
RB,Marcus,Barry,6 - 0,193,R,81, - ,Tampa Bay,12,220,1142,9,0,6,5.19,"95.17
"
RB,Shawn,Cole,5 - 9,188,1,81, - ,San Diego,12,211,1071,11,1,6,5.08,"89.25
"
RB,Rob,Blackmon,6 - 0,206,2,84, - ,Cincinnati,7,119,618,6,1,2,5.19,"88.29
"
QB,Todd,Lester,6 - 0,194,R,82, - ,San Francisco,11,63,317,3,0,0,5.03,"28.82
"
RB,Sterling,Brown,6 - 0,174,R,83, - ,New York Giants,12,199,897,11,0,2,4.51,"74.75
"
RB,Lionel,Dickinson,6 - 0,194,R,76, - ,St. Louis,3,45,180,1,1,0,4.00,"60.00
"
RB,Brian,Kiel,6'1,213,2,80, - ,San Francisco,12,206,1003,7,0,3,4.87,"83.58
"
RB,O.J.,Carano,5 - 11,217,1,87, - ,New York Jets,12,244,1136,8,2,4,4.66,"94.67
"
RB,Ed,Latta,5 - 9,188,1,81, - ,Jacksonville,7,144,696,9,1,2,4.83,"99.43
"
QB,Aaron,Kotar,6 - 6,225,1,84, - ,New York Giants,1,4,25,0,0,0,6.25,"25.00
"
RB,Akili,Wallace,5 - 10,180,R,83, - ,Atlanta,12,259,1269,8,0,7,4.90,"105.75
"
FB,Edgerrin,Petty,6 - 1,219,R,72, - ,Dallas,2,6,14,2,0,0,2.33,"7.00
"
RB,Chester,Henson,5 - 11,226,2,94, - ,Minnesota,12,202,1089,8,0,4,5.39,"90.75
"
RB,Justin,Buchanan,5 - 10,184,2,81, - ,Oakland,12,167,767,10,0,2,4.59,"63.92
"
RB,Brian,Kanell,5 - 8,198,1,75, - ,Oakland,2,11,35,1,0,0,3.18,"17.50
"
RB,Elvis,Williams,5 - 11,181,2,82, - ,San Diego,1,6,40,0,0,0,6.67,"40.00
"
RB,Shaun,Evans,5 - 8,191,1,83, - ,New England,12,144,564,5,1,0,3.92,"47.00
"
FB,Billy,Davis,74,218,R,65, - ,New York Giants,3,10,15,3,0,0,1.50,"5.00
"
FB,John,Evans,6 - 1,210,1,73, - ,Cleveland,2,9,30,4,0,0,3.33,"15.00
"
FB,Anthony,Thomas,5 - 11,222,1,75, - ,Minnesota,1,4,11,1,0,0,2.75,"11.00
"
RB,Keith,Dunn,5 - 11,179,1,77, - ,Dallas,3,59,203,4,0,1,3.44,"67.67
"
QB,Alex,Bridgewater,6 - 0,182,1,82, - ,Tampa Bay,8,45,268,5,0,0,5.96,"33.50
"
FB,Broderick,Snell,5 - 11,235,2,74, - ,Houston,2,7,16,2,0,0,2.29,"8.00
"
RB,Elvis,Williams,5 - 11,181,2,82, - ,Detriot,7,114,582,9,1,2,5.11,"83.14
"
RB,J.J.,Hammond,5 - 11,229,2,71, - ,Tampa Bay,1,3,6,1,0,0,2.00,"6.00
"
RB,Booker T.,Washington,6 - 1,208,1,77, - ,Baltimore,12,226,1189,15,0,5,5.26,"99.08
"
RB,Fred,Tindale,5 - 11,204,R,81, - ,Seattle,12,252,1127,12,0,6,4.47,"93.92
"
QB,Thomas,Wheeler,6 - 1,208,1,86, - ,New York Giants,1,4, - 27,0,1,0, - 6.75," - 27.00
"
QB,Alexander,Williams,6 - 0,187,2,85, - ,Cleveland,10,60,318,5,0,0,5.30,"31.80
"
RB,Vaughan,Abraham,5 - 10,201,2,89, - ,Dallas,11,258,1334,13,0,7,5.17,"121.27
"
RB,Quincy,Turner,6 - 1,200,1,82, - ,Detriot,3,32,135,2,1,0,4.22,"45.00
"
RB,Brian,Houghton,67,190,R,72, - ,San Francisco,3,14,30,0,0,0,2.14,"10.00
"
QB,Brian,Vardell,6 - 2,200,2,89, - ,Minnesota,1,1, - 6,0,1,0, - 6.00," - 6.00
"
RB,Dontrell,Jackson,5 - 10,192,R,71, - ,Detriot,2,26,100,1,2,0,3.85,"50.00
"
FB,Ian,Smith,74,222,R,67, - ,Denver,1,4,1,1,0,0,0.25,"1.00
"
RB,Jerry,Rambo,5 - 10,220,R,80, - ,Denver,11,315,1475,15,2,11,4.68,"134.09
"
RB,Steven,Curtis,6 - 0,186,2,77, - ,Cincinnati,6,77,345,5,2,0,4.48,"57.50
"
QB,Allan,Taylor,6 - 0,202,2,90, - ,Jacksonville,12,78,434,8,1,0,5.56,"36.17
"
FB,Alex,Engram,6 - 1,252,1,73, - ,Miami,2,6,14,2,0,0,2.33,"7.00
"
RB,Bradie,Sapp,5 - 11,185,2,81, - ,St. Louis,10,163,704,7,2,1,4.32,"70.40
"
RB,Chad,Dess,6 - 1,241,1,85, - ,Green Bay,12,213,1021,13,0,3,4.79,"85.08
"
RB,Don,Williams,5 - 10,226,2,88, - ,Cleveland,12,206,1064,12,0,3,5.17,"88.67
"
RB,Tony,Peaks,5 - 10,239,2,84, - ,Indianapolis,11,195,1073,13,0,6,5.50,"97.55
"
RB,Rickie,Baird,5 - 11,171,R,79, - ,Houston,12,239,1059,10,1,2,4.43,"88.25
"
RB,John,McMurtry,5 - 11,212,1,79, - ,Houston,1,4,11,0,0,0,2.75,"11.00
"
