 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Completions , Attempts , Completion PCT , Yards , TDs , INTs , QB Rating , YPA ," YPG
"
QB,Byron,Harper,6 - 3,225,Jr,4.5,4.5,Utah,14,180,279,64.52,2277,12,7,141.64,8.16,"162.64
"
QB,Ahmed,Miles,6 - 0,217,Fr,2.0,4.0,Michigan State,1,0,4,0.00,0,0,1, - 50.00,0.00,"0.00
"
RB,Calvin,Jones,6 - 4,208,(So),4.0,4.0,Georgia Tech,1,1,2,50.00,18,0,1,25.60,9.00,"18.00
"
QB,Jacory,Kessler,6 - 3,224,Fr,3.0,5.0,Auburn,13,136,226,60.18,1954,13,8,143.17,8.65,"150.31
"
QB,Donald,Caldwell,6 - 3,233,(Sr),5.0,5.0,NC State,13,223,327,68.20,3069,24,7,167.57,9.39,"236.08
"
QB,Rob,Corp,6 - 3,203,(Sr),4.0,4.0,Miami FL,2,5,5,100.00,55,1,0,235.75,11.00,"27.50
"
QB,Kevin,Junior,6 - 1,186,(Sr),2.5,2.5,Oklahoma State,2,4,7,57.14,47,1,0,125.00,6.71,"23.50
"
QB,Alex,Leshoure,6 - 1,205,(So),4.5,5.0,Boston College,13,310,521,59.50,3483,23,8,126.04,6.69,"267.92
"
QB,James,Jordan,6 - 3,209,(Fr),3.0,4.0,Georgia State,12,144,241,59.75,1813,8,11,120.41,7.52,"151.08
"
QB,Douglas,Graham,6 - 3,185,(So),2.5,4.0,Miami OH,12,332,562,59.07,3692,26,7,126.41,6.57,"307.67
"
QB,Karl,Chapman,6 - 1,231,Sr,2.5,2.5,Bowling Green,10,96,177,54.24,1197,2,3,109.89,6.76,"119.70
"
QB,Matt,Millner,5 - 11,195,Jr,3.0,3.0,SMU,12,123,221,55.66,1516,7,13,113.39,6.86,"126.33
"
QB,Paul,Robbins,6 - 2,197,Jr,2.5,3.0,Miami OH,3,10,18,55.56,98,2,0,131.21,5.44,"32.67
"
QB,Luke,Williams,6 - 4,185,(So),4.5,4.5,Pittsburgh,3,35,64,54.69,424,3,1,130.63,6.62,"141.33
"
QB,Morris,Jacobs,6 - 3,195,(So),1.5,3.5,Western Michigan,6,63,113,55.75,725,7,6,121.48,6.42,"120.83
"
QB,Andrew,Davis,6 - 3,222,(So),2.0,4.5,Northern Illinois,13,202,328,61.59,2488,19,8,139.27,7.59,"191.38
"
QB,Melvin,Jefferson,6 - 3,202,(Jr),3.5,4.5,Ohio State,8,86,177,48.59,1191,7,9,110.96,6.73,"148.88
"
QB,Art,Duhon,6 - 2,207,(Jr),4.0,4.0,Arizona State,12,111,190,58.42,1337,2,3,116.19,7.04,"111.42
"
QB,Mark,White,6 - 3,199,(Sr),4.5,4.5,Duke,12,385,723,53.25,3675,18,18,99.73,5.08,"306.25
"
QB,Randall,Moulton,6 - 1,213,Fr,1.0,3.5,Tulane,1,18,67,26.87,194,0,6,33.28,2.90,"194.00
"
QB,Darren,Carroll,5 - 11,212,(So),3.0,3.5,Boise State,13,133,225,59.11,1683,8,4,130.55,7.48,"129.46
"
QB,Wayne,Schmidt,6 - 1,172,Jr,3.5,4.5,Oklahoma State,13,256,423,60.52,3093,17,4,134.76,7.31,"237.92
"
QB,Robert,Carnes,6 - 0,207,(Sr),3.0,3.0,Indiana,7,80,175,45.71,885,2,9,84.04,5.06,"126.43
"
QB,Anthony,Newson,6 - 1,226,(Sr),4.5,4.5,Washington,16,242,374,64.71,3379,21,4,157.15,9.03,"211.19
"
QB,Stephen,McGee,6 - 1,221,Sr,2.5,2.5,Tulane,8,170,348,48.85,1599,5,6,86.95,4.59,"199.88
"
QB,James Van,Buren,6 - 3,213,(Sr),4.0,4.0,Ole Miss,12,169,278,60.79,2017,6,6,124.90,7.26,"168.08
"
