 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Attempts , Yards , TDs , Fumbles , 100yd Games , YPC ," YPG
"
RB,Brian,Schlichter,5 - 11,206,(So),3.5,4.5,Colorado,12,234,1100,9,2,3,4.70,"91.67
"
QB,Ahmed,Miles,6 - 0,217,Fr,2.0,4.0,Michigan State,1,2, - 11,0,0,0, - 5.50," - 11.00
"
RB,Calvin,Jones,6 - 4,208,(So),4.0,4.0,Georgia Tech,13,178,947,11,0,3,5.32,"72.85
"
QB,Michael,Larson,6 - 1,226,Sr,2.0,2.0,Kent State,3,15,71,0,0,0,4.73,"23.67
"
RB,Gil,Novacek,5 - 11,188,Jr,4.0,4.5,Arizona,13,231,1176,16,0,4,5.09,"90.46
"
QB,Byron,Harper,6 - 3,225,Jr,4.5,4.5,Utah,14,97,612,9,0,1,6.31,"43.71
"
QB,Jacory,Kessler,6 - 3,224,Fr,3.0,5.0,Auburn,13,87,478,9,1,0,5.49,"36.77
"
FB,Jeb,Hoying,6 - 0,229,(Jr),3.5,3.5,USC,1,4,43,1,0,0,10.75,"43.00
"
FB,Kevin,Naquin,5 - 11,180,So,3.0,3.0,UCLA,1,3,4,1,0,0,1.33,"4.00
"
RB,Adrian,Robinson,5 - 11,203,Jr,4.5,4.5,Houston,14,254,1433,16,1,8,5.64,"102.36
"
QB,Alex,Leshoure,6 - 1,205,(So),4.5,5.0,Boston College,1,2, - 5,0,1,0, - 2.50," - 5.00
"
RB,Doug,Chadwick,5 - 9,219,Jr,2.5,3.5,Tennessee,6,37,110,3,0,0,2.97,"18.33
"
RB,Jimmy,Carrier,6 - 1,184,Jr,2.5,3.0,New Mexico,6,118,553,4,1,2,4.69,"92.17
"
RB,Lewis,Hodge,5 - 11,189,(Sr),2.5,2.5,Illinois,2,7,7,0,0,0,1.00,"3.50
"
RB,Frank,Osborn,67,184,(Fr),2.5,4.0,Stanford,1,5,23,1,0,0,4.60,"23.00
"
QB,James,Jordan,6 - 3,209,(Fr),3.0,4.0,Georgia State,1,2,4,0,1,0,2.00,"4.00
"
RB,Darius,Jenkins,5 - 11,206,Jr,3.5,3.5,Arizona,1,6,15,1,0,0,2.50,"15.00
"
