 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Attempts , Missed , +0 , +20 , +30 , +40 ," +50
"
K,William,Redd,5 - 11,214,(Sr),3.0,3.0,Oregon State,7,1,0,0,2,4,"0
"
K,Aaron,George,6 - 3,211,Fr,1.0,4.0,Illinois,8,1,0,2,2,3,"0
"
K,Mason,Dutton,5 - 8,175,Fr,2.5,3.5,Missouri,9,0,0,2,4,3,"0
"
K,Ian,Hughes,5 - 10,187,Jr,3.0,3.0,Duke,7,0,0,2,1,4,"0
"
K,Justin,Nielsen,5 - 11,203,(So),4.5,5.0,Texas A&M,18,0,0,2,5,11,"0
"
K,Eddie,Morrison,6 - 2,196,Sr,2.5,2.5,Temple,11,2,0,1,4,4,"0
"
K,Darren,Winters,6 - 1,195,(So),3.0,3.0,North Carolina,12,3,0,1,5,3,"0
"
K,Kevin,Marinovich,5 - 10,165,(Jr),2.5,2.5,Ole Miss,16,3,1,2,8,2,"0
"
K,Mark,Kirschbaum,5 - 9,199,Jr,4.0,4.5,Purdue,14,0,0,2,5,7,"0
"
K,Marty,Jones,5 - 9,209,Sr,3.0,3.0,Bowling Green,13,1,0,3,7,2,"0
"
K,Nico,Riddle,5 - 10,222,Fr,3.0,3.5,Georgia State,9,0,0,1,3,5,"0
"
K,Daniel,Olson,5 - 10,188,(So),3.0,4.5,Cincinnati,7,0,0,0,2,5,"0
"
P,Mark,Coleman,6 - 1,196,(Jr),5.0,5.0,USC,10,4,0,1,2,3,"0
"
K,Wilson,Mitchell,6 - 1,196,Sr,4.0,4.0,Northern Illinois,20,2,0,3,5,10,"0
"
P,Yuri,Garisov,6 - 3,222,Jr,4.0,5.0,Auburn,16,6,0,1,3,6,"0
"
K,Keith,White,5 - 8,207,Sr,3.5,3.5,Boston College,15,1,0,1,4,8,"1
"
K,Ronald,Corbett,6 - 4,193,Jr,2.5,3.0,Central Michigan,11,0,0,4,3,4,"0
"
K,Matt,Fisk,5 - 11,171,Jr,4.0,4.0,Penn State,32,5,0,1,11,15,"0
"
K,Bryan,Ray,5 - 9,178,Sr,4.5,4.5,Colorado State,11,0,0,0,5,5,"1
"
K,Russ,Starring,5 - 10,188,(Sr),2.5,2.5,Vanderbilt,11,2,0,1,3,5,"0
"
K,Rolando,Anderson,6 - 4,172,So,2.5,2.5,Nevada,16,4,1,3,7,1,"0
"
P,Jason,Sochia,5 - 10,169,Sr,5.0,5.0,Notre Dame,24,6,0,4,6,8,"0
"
K,Larry,DeLamielleure,5 - 11,173,Sr,4.0,4.0,Arizona State,9,1,0,0,4,4,"0
"
K,James,Dunn,6 - 2,200,So,2.0,2.0,New Mexico,11,0,0,4,4,3,"0
"
K,Douglas,Golden,6 - 2,174,Sr,3.0,3.0,North Texas,7,0,0,0,4,3,"0
"
K,Joshua,Stewart,6 - 4,176,So,3.0,3.0,Kansas,5,0,0,0,2,3,"0
"
K,William,Shields,6 - 2,185,Fr,1.0,3.5,Army,11,3,1,4,3,0,"0
"
K,Rene,Grigsby,6 - 2,213,Sr,2.0,2.0,Ohio,13,3,0,3,4,3,"0
"
K,Ilan,Youngblood,5 - 10,160,Fr,1.5,4.5,Maryland,16,2,0,2,10,1,"1
"
K,Dudley,Melton,6 - 1,202,Sr,1.5,1.5,Fresno State,10,3,0,0,4,3,"0
"
K,Robert,Gilbert,6 - 2,185,Fr,1.5,3.5,San Jose State,10,2,0,3,3,2,"0
"
K,Gino,Chiaverini,6 - 3,206,Sr,5.0,5.0,Texas,26,0,0,4,6,15,"1
"
K,Eric,Holder,6 - 3,186,Fr,3.0,4.5,Alabama,25,2,0,4,7,12,"0
"
K,Pedro,Roby,6 - 1,178,(Sr),2.0,2.0,Utah,10,4,0,2,3,1,"0
"
K,James,Taylor,6 - 4,186,(So),2.5,2.5,Miami OH,14,1,0,2,8,3,"0
"
K,Troy,Lawson,5 - 9,196,Jr,3.0,3.0,Arizona,10,1,0,1,4,4,"0
"
