 Team , Pass Yards , Rush Yards , Off. TDs , Def. TDs , Safeties , INTs , FF , FR , Fumbles, Pass Yards Against , Rush Yards Against , Off. TDs Against , Def. TDs Against , Safeties Against ," INTs Against
"
Virginia Tech,2366,1445,28,3,0,9,1,1,0,2926,742,21,1,0,"2
"
San Diego State,2121,1299,27,1,0,5,0,0,0,2377,1428,37,3,0,"6
"
Michigan State,1346,1834,32,4,0,15,2,2,3,2118,954,20,0,0,"5
"
USC,3531,1454,56,5,0,18,0,0,0,2815,1242,31,2,0,"10
"
LSU,3710,670,34,4,1,12,0,0,1,2344,1120,28,3,0,"7
"
Army,2188,761,17,1,0,9,0,0,0,2251,1255,35,1,1,"4
"
Utah,1750,1036,16,0,0,3,0,0,1,2615,1295,31,0,0,"6
"
Oklahoma,3866,1786,66,3,1,21,2,2,0,2235,1646,23,0,0,"6
"
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0
"
Minnesota,1926,1364,36,2,2,9,0,0,0,2167,1288,25,1,0,"10
"
Georgia State,2441,552,23,1,0,3,1,1,1,2270,1462,39,2,0,"4
"
Illinois,1337,1434,23,2,0,9,0,0,0,2407,969,25,2,1,"8
"
Louisville,2122,792,23,0,0,4,0,0,0,2482,1142,36,3,0,"12
"
Kansas State,1421,1031,13,2,0,6,0,0,0,2281,1050,30,0,1,"8
"
Arkansas,2943,954,29,1,1,6,0,0,0,2167,823,20,0,1,"7
"
Oregon,2003,1816,47,4,0,8,0,0,0,2426,878,30,0,0,"5
"
Washington State,3197,461,28,0,0,6,0,0,0,2458,1376,29,3,0,"7
"
Indiana,1128,1042,7,0,0,1,0,0,0,2682,1625,41,3,0,"7
"
Maryland,2562,1018,28,3,0,5,2,2,0,2022,1125,21,2,0,"4
"
Rice,2549,585,16,0,0,3,0,0,0,2791,1292,39,4,0,"13
"
Clemson,3678,553,44,4,1,14,0,0,0,2473,864,20,4,0,"16
"
Texas,1716,2008,34,3,0,10,0,1,1,2540,905,22,1,1,"3
"
Boston College,4112,662,43,2,1,9,1,2,0,2286,1274,23,3,0,"11
"
Oklahoma State,2307,813,21,1,1,4,1,1,0,1718,1089,20,0,0,"3
"
Iowa,4331,832,43,2,0,10,1,1,1,2364,1348,27,0,2,"6
"
Florida State,2399,2418,46,5,0,16,0,0,1,2822,995,27,0,1,"5
"
Pittsburgh,3781,727,35,2,0,6,0,0,1,2898,1350,33,2,0,"13
"
Michigan,2282,1018,29,1,1,7,1,2,0,2501,1133,32,2,1,"10
"
Kansas,1889,1964,32,1,0,7,1,1,0,2243,937,27,2,1,"5
"
