 Position , Forename , Surname , Height , Weight , Year , Skill , Team , Games , Attempts , Yards , TDs , Fumbles , 100yd Games , YPC ," YPG
"
FB,Richard,Myers,6 - 2,242,3,78,ATL,1,4,8,1,0,0,2,"8
"
RB,Don,Bryant,5 - 8,186,R,73,GB,1,5,9,0,0,0,1.8,"9
"
RB,Justin,Buchanan,5 - 10,184,3,81,KC,5,76,363,4,0,1,4.78,"72.6
"
RB,David,Ortiz,5 - 10,207,3,77,PHI,2,32,110,1,0,0,3.44,"55
"
RB,Buzz,Etcheverry,5 - 10,182,R,79,CIN,13,191,765,10,2,1,4.01,"58.85
"
RB,Rickie,Baird,5 - 11,171,1,80,HOU,13,232,1068,14,0,4,4.6,"82.15
"
RB,Dick,Lilly,5 - 11,199,1,73,OAK,5,59,213,4,0,0,3.61,"42.6
"
RB,Sterling,Brown,6 - 0,174,1,87,NYG,16,318,1591,16,2,6,5,"99.44
"
RB,James,Otero,5 - 8,191,2,86,TB,16,268,1337,14,0,2,4.99,"83.56
"
QB,Taylor,Heiden,6 - 3,197,1,81,TB,16,88,386,12,0,0,4.39,"24.13
"
RB,Quincy,Turner,6 - 1,200,2,85,CHI,16,273,1248,11,1,1,4.57,"78
"
RB,Bryan,Davis,5 - 8,195,3,85,PHI,15,303,1309,12,0,4,4.32,"87.27
"
FB,Alex,Engram,6 - 1,252,2,79,MIA,2,6,17,2,0,0,2.83,"8.5
"
RB,Kenneth,Farr,5 - 8,183,R,79,NE,1,16,64,1,0,0,4,"64
"
RB,Chester,Dorenbos,6 - 0,222,R,81,OAK,12,129,518,7,1,0,4.02,"43.17
"
RB,Moshae,Jackson,5 - 9,175,R,70,CHI,1,3,12,0,0,0,4,"12
"
RB,Rasheed,Kent,6 - 1,205,1,78,MIN,2,19,62,1,0,0,3.26,"31
"
RB,Michael,Shoemaker,6 - 0,187,R,81,KC,12,146,562,8,0,0,3.85,"46.83
"
RB,Akili,Wallace,5 - 10,180,1,90,ATL,16,363,1731,19,0,12,4.77,"108.19
"
QB,Blake,Shell,6 - 5,194,2,89,CIN,2,6, - 18,0,2,0, - 3," - 9
"
QB,Lawyer,Johnson,6 - 0,194,R,80,NE,1,2, - 8,0,1,0, - 4," - 8
"
RB,Eddie,Anderson,5 - 10,173,R,78,NYJ,1,26,84,1,0,0,3.23,"84
"
RB,Booker T.,Washington,6 - 1,208,2,86,BAL,16,354,1593,13,1,5,4.5,"99.56
"
FB,Edgerrin,Petty,6 - 1,219,1,74,DAL,1,3,5,1,0,0,1.67,"5
"
RB,Brian,Kiel,6 - 1,213,3,80,SF,4,67,288,3,0,0,4.3,"72
"
RB,Lynn,Bartkowski,6 - 0,192,1,79,GB,4,58,246,2,1,0,4.24,"61.5
"
RB,Chad,Dess,6 - 1,241,2,91,BUF,16,412,1815,17,2,15,4.41,"113.44
"
RB,Tony,Peaks,5 - 10,239,3,89,IND,16,305,1385,13,1,6,4.54,"86.56
"
QB,Aaron,Kotar,6 - 6,225,2,84,NYG,7,47,238,3,0,0,5.06,"34
"
RB,John,Harris,5 - 11,181,R,79,TEN,16,311,1298,13,0,2,4.17,"81.13
"
RB,Ed,Latta,5 - 9,188,2,84,JAX,14,275,1034,9,1,1,3.76,"73.86
"
RB,Vaughan,Abraham,5 - 10,201,3,94,DAL,16,418,2055,17,1,16,4.92,"128.44
"
QB,Dick,Cook,6 - 2,205,R,80,NYG,9,46,193,6,0,0,4.2,"21.44
"
RB,Elvis,Williams,5 - 11,181,3,89,DET,16,295,1371,12,2,4,4.65,"85.69
"
RB,Brian,Houghton,5 - 7,190,1,73,SF,7,108,418,5,0,2,3.87,"59.71
"
RB,Joseph,Bowen,5 - 9,185,R,80,ARI,16,309,1338,11,1,4,4.33,"83.63
"
RB,Shawn,Anderson,5 - 8,184,R,81,STL,16,239,1009,11,2,0,4.22,"63.06
"
QB,Keith,Simon,6 - 2,189,2,82,KC,2,6,14,0,0,0,2.33,"7
"
QB,Todd,Lester,6 - 0,194,1,86,SF,13,91,616,10,0,1,6.77,"47.38
"
QB,Onterrio,Smith,6 - 1,180,3,82,PIT,11,76,473,7,1,2,6.22,"43
"
QB,Derek,Keys,6 - 1,195,2,76,CLE,3,18,45,2,0,0,2.5,"15
"
RB,Austin,Mitchell,5 - 10,185,2,78,ATL,1,6,22,1,1,0,3.67,"22
"
QB,Glen,Spencer,6 - 1,170,R,79,MIA,2,11,39,1,0,0,3.55,"19.5
"
RB,James,Bush,6 - 1,242,3,84,PIT,8,96,478,5,1,1,4.98,"59.75
"
RB,Fred,Preston,5 - 9,191,2,83,WAS,3,31,145,2,2,0,4.68,"48.33
"
