 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Tackles , INTs , Sacks , FF , FR , Blocks , TDs ," Safeties
"
FS,Messiah,Henderson,6 - 1,182,Sr,4.5,4.5,Duke,6,32,0,0.0,0,0,0,0,"0
"
ILB,Philip,Sargent,6 - 2,240,(So),3.5,4.5,Nebraska,1,10,0,0.0,0,0,0,0,"0
"
FS,Jamir,Pendleton,6 - 1,209,Fr,2.5,4.0,Texas Tech,5,25,0,0.0,0,0,0,0,"0
"
FS,Antonio,White,6 - 1,163,Jr,4.0,4.0,Nevada,4,19,1,0.0,1,1,0,0,"0
"
CB,Lee,Davis,6 - 2,174,(Sr),4.0,4.0,Oklahoma,4,15,2,0.0,0,0,0,1,"0
"
OLB,Caleb,Foster,6 - 2,225,Fr,2.5,3.0,USC,3,18,0,0.0,0,0,0,0,"0
"
DE,Aaron,Smalley,6 - 2,303,Sr,3.0,3.0,Auburn,3,10,0,3.0,0,0,0,0,"0
"
CB,Demetrius,Patterson,6 - 1,225,(Jr),4.0,4.0,Texas,1,3,1,0.0,0,0,0,0,"0
"
DE,Christopher,Stewart,6 - 1,253,(So),2.5,3.0,ECU,1,3,0,1.0,0,0,0,0,"0
"
OLB,Richard,Ryan,6 - 3,230,(So),2.5,4.5,Virginia Tech,7,39,2,3.0,0,0,0,1,"0
"
CB,Wilson,Allen,6 - 1,163,So,2.0,3.0,Marshall,1,4,1,0.0,0,0,0,1,"0
"
ILB,John,Foster,6 - 1,227,(Jr),4.5,4.5,Miami FL,6,43,0,0.0,1,1,0,0,"0
"
CB,Brent,Johnson,5 - 11,181,Sr,4.5,4.5,Utah,7,30,4,0.0,0,0,0,0,"0
"
ILB,Douglas,Carson,6 - 1,220,Jr,3.0,3.0,Navy,3,16,0,0.0,0,0,0,0,"0
"
FS,Darius,Jones,6 - 1,205,Sr,5.0,5.0,Washington,3,18,3,0.0,0,0,0,0,"0
"
OLB,Peter,Garcia,5 - 10,220,Sr,2.5,2.5,Marshall,1,7,0,0.0,0,0,0,0,"0
"
CB,Matty,Brennan,6 - 3,168,Sr,4.0,4.0,Mississippi State,2,7,2,0.0,0,0,0,0,"0
"
DT,Bobby,Griggs,6 - 5,299,So,3.0,4.5,Boise State,1,5,0,1.0,0,0,0,0,"0
"
OLB,Clay,Hooker,5 - 11,205,Sr,3.0,3.0,Iowa,6,33,0,0.0,0,0,0,0,"0
"
OLB,Jerry,Thornton,6 - 2,229,(So),3.5,4.5,Texas Tech,4,21,0,1.0,0,0,0,0,"0
"
DE,Keith,Hood,6 - 1,266,(Sr),4.0,4.0,Iowa,1,3,0,0.5,0,0,0,0,"0
"
DE,Charlie,Bacon,6 - 4,269,(Sr),4.0,4.0,Ole Miss,7,32,0,5.5,0,0,0,0,"0
"
OLB,Keith,Powers,6 - 1,197,(So),3.5,3.5,Northern Illinois,8,55,0,2.0,0,0,0,0,"0
"
DE,Joshua,Boles,6 - 8,261,Sr,3.5,3.5,Western Michigan,5,21,0,4.0,0,0,0,0,"0
"
CB,Jack,Weisensee,6 - 0,167,So,2.5,4.0,West Virginia,6,22,4,0.0,0,0,0,1,"0
"
ILB,Franklin,McKenna,6 - 0,229,Jr,4.0,4.0,Missouri,8,62,2,1.0,0,0,0,0,"0
"
CB,Rolando,Simmons,5 - 10,190,Jr,3.5,4.0,Stanford,1,5,0,0.0,0,0,0,0,"0
"
FS,Chad,Walker,5 - 11,180,Fr,1.0,5.0,Tulsa,1,4,1,0.0,0,0,0,0,"0
"
OLB,Harry,Benton,6 - 1,214,Jr,3.0,3.0,San Jose State,2,10,0,0.0,0,0,0,0,"0
"
CB,Sean,Williams,5 - 11,179,(Jr),3.5,3.5,South Carolina,10,50,3,0.0,0,0,0,0,"0
"
OLB,Lester,Witt,6 - 2,231,Jr,2.5,3.0,Iowa,4,22,0,0.0,0,0,0,0,"1
"
OLB,Allen,Wooten,6 - 2,233,(Jr),2.0,2.5,Utah State,5,33,0,0.0,0,0,0,0,"0
"
DE,Donald,Craig,6 - 6,250,(Jr),4.0,4.0,Texas A&M,8,29,0,5.0,0,0,0,0,"0
"
DT,Jeremi,Alexander,6 - 6,264,(Sr),4.5,4.5,Texas,3,14,0,3.5,0,0,0,0,"0
"
DT,Michael,Mattison,6 - 7,277,(Sr),3.0,3.0,Western Michigan,1,5,0,0.0,0,0,0,0,"0
"
SS,Anthony,Campbell,6 - 1,194,(Jr),4.0,4.0,UCLA,1,6,0,0.0,0,0,0,0,"0
"
ATH,Kameron,Reaves,6 - 3,235,Fr,2.5,4.0,Kansas,2,15,0,2.0,0,0,0,0,"0
"
ILB,Christian,Haywood,6 - 3,243,Jr,4.5,5.0,Arizona,9,70,0,0.0,0,0,0,0,"0
"
CB,Jeffrey,Barber,6 - 1,172,(So),3.0,3.0,Buffalo,4,20,1,0.0,0,0,0,1,"0
"
CB,Thomas,Mims,5 - 11,193,(Fr),2.5,4.0,Auburn,3,9,3,0.0,0,0,0,1,"0
"
FS,Darren,Eaton,6 - 2,191,Jr,3.5,3.5,Indiana,4,20,1,0.0,0,0,0,1,"0
"
ILB,John,Adams,6 - 4,213,(Jr),4.0,4.0,Pittsburgh,9,55,0,0.0,0,0,0,0,"0
"
OLB,Aaron,Hammond,6 - 1,223,Jr,4.0,5.0,Purdue,9,62,0,4.0,0,1,0,1,"0
"
SS,Christopher,Hatton,5 - 10,194,Jr,2.5,3.5,Utah State,1,5,0,0.0,0,0,0,0,"0
"
SS,John,Torres,6 - 2,191,(Jr),3.0,3.0,Toledo,2,5,1,0.0,0,0,0,0,"0
"
OLB,Jamie,Price,6 - 0,240,(So),4.0,4.5,Ohio State,7,36,0,2.0,0,0,0,0,"0
"
DE,Jeff,Cannon,6 - 1,251,(So),2.0,3.0,Bowling Green,2,10,0,0.0,0,0,0,0,"0
"
CB,Edward,Dixon,6 - 0,173,Jr,3.0,4.0,North Carolina,1,5,1,0.0,0,0,0,0,"0
"
DE,Leonard,Huffman,6 - 8,279,Sr,3.5,3.5,Houston,3,8,0,4.0,0,0,0,0,"0
"
DE,Frank,Gates,6 - 6,253,Jr,2.5,3.0,Eastern Michigan,6,17,0,5.5,1,0,0,0,"0
"
CB,Myles,Ransom,6 - 0,184,(Fr),2.0,3.0,Virginia,1,2,1,0.0,0,0,0,0,"0
"
DE,Tyler,Griggs,6 - 4,275,(Jr),3.0,3.0,ECU,2,10,0,1.0,0,0,0,0,"0
"
ILB,Clifford,Pittman,6 - 4,221,Sr,3.5,3.5,UCF,4,26,0,0.0,0,0,0,0,"0
"
ILB,Abdoul,Dorsey,6 - 1,230,Fr,2.0,2.5,Miami OH,7,44,0,0.0,0,0,0,0,"0
"
CB,Michael,Newman,6 - 1,185,So,2.5,3.5,Ohio,7,29,2,0.0,0,0,0,0,"0
"
DT,James,Arnold,6 - 8,291,Sr,4.5,4.5,Cincinnati,3,14,0,0.0,0,0,0,0,"0
"
DE,Roy,Morton,6 - 5,280,(Jr),3.5,3.5,Army,2,8,0,1.0,0,0,0,0,"0
"
CB,Robert,Mann,6 - 0,172,(So),4.0,4.0,Boston College,6,27,4,0.0,0,0,0,1,"0
"
CB,Donald,Garcia,6 - 1,163,(So),3.0,4.5,Arizona State,2,10,1,0.0,0,0,0,0,"0
"
DT,Montae,Kelly,6 - 2,299,(Sr),4.5,4.5,Michigan,3,13,0,4.0,0,0,0,0,"0
"
DT,Wilburn,Ball,6 - 6,290,(Jr),4.5,4.5,Notre Dame,4,21,0,2.0,0,0,0,0,"0
"
FS,Benjamin,Fountain,6 - 0,191,Jr,3.0,4.0,Mississippi State,3,8,3,0.0,0,0,0,0,"0
"
DT,Edward,Eason,6 - 5,309,(Jr),3.5,4.5,Nebraska,7,40,0,2.0,0,0,0,0,"1
"
DE,Larry,Manning,6 - 8,263,(Sr),3.0,3.0,Iowa State,6,30,0,2.0,0,0,0,0,"0
"
DE,Jonathan,Goodwin,6 - 2,246,Jr,4.5,5.0,Utah,3,14,0,5.0,0,0,0,0,"0
"
SS,Tyler,Gore,5 - 10,195,(Fr),2.0,3.5,Oregon,2,6,2,0.0,0,0,0,1,"0
"
OLB,John,Freeman,5 - 11,219,Sr,3.5,3.5,Utah,8,46,1,2.0,0,0,0,0,"0
"
ILB,Andre,Carter,6 - 2,245,Sr,4.0,4.0,Mississippi State,8,56,1,0.0,0,0,0,0,"0
"
CB,Blake,Turner,6 - 3,176,So,4.0,5.0,Ohio State,7,40,2,0.0,0,0,0,1,"0
"
OLB,Mark,Stapleton,6 - 5,238,(So),4.0,4.0,Air Force,7,51,0,2.0,0,0,0,0,"0
"
CB,Cody,Hanna,5 - 11,196,(Jr),3.5,4.0,Clemson,4,18,2,0.0,0,0,0,0,"0
"
DE,John,McPherson,6 - 2,256,Jr,3.0,3.5,Indiana,4,14,0,4.0,0,0,0,0,"0
"
